theta_deg,channel,delta_R,delta_H,delta_Qc,delta_Qd
0.255,BB,-0.00426988770028,-0.0170408305359,0.0263964705895,0.000125852638533
0.26,BB,-0.00404349275394,-0.0385772819334,0.0344400863426,0.000166841579643
0.265,BB,-0.00383028680528,-0.0223376901967,-0.0969095599014,-0.000488066063573
0.27,BB,-0.0036378875675,0.00159257669084,0.0304048658539,0.000193657003376
0.275,BB,-0.00345712999615,0.0041330500952,-0.0210151768959,-0.000115341478993
0.28,BB,-0.00328102644895,0.00997865954819,0.0380219653291,0.000171618932305
0.285,BB,-0.00310755669052,-0.0271857984589,-0.00944336473637,-5.2333517827e-05
0.29,BB,-0.0029360916431,-0.00426154635927,0.0183705636589,9.6345986293e-05
0.295,BB,-0.00276638261791,0.00685619165251,2.91688569091e-05,-9.10054838242e-06
0.3,BB,-0.00259830180205,-0.0192932999006,0.0162501919114,6.68657100969e-05
